Internal Estimate,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Phase 3,Website Development,Content Population,"Populate pages with finalized images and copy. Configure and test forms.

XX total pages
XX total posts, etc.",,0,150,0,
Phase 3,Account Service,Website Development - CLIENT FEEDBACK CALL,Call to review website feedback with client. ,,0,100,0,
Phase 3,Website Development,Website Development - REVISIONS,"Make up to 2 rounds of revisions based on client feedback, ensuring design and functionality align with project goals.",,0,150,0,
Phase 3,Account Service,Phase 3 Account Service,"Extra time padded for client communication and coordination to ensure project alignment, satisfaction, and success. This includes managing timelines, facilitating feedback, organizing meetings and emails, translating client needs to the internal team, and overseeing deliverables.",,0,100,0,Excludes meetings.
Phase 4,Account Service,Launch Prep Call,Call with the client to coordinate launch plans. ,,,100,0,
Phase 4,Website Development,Launch,"Launch website to hosting server (e.g., Configure SSL, DNS, Cache, image optimization, redirects, security)",Christian,4,150,600,WordPress Only
Phase 4,Production Management,Squarespace Launch,"Purchase Squarespace subscription, connect domain name.",Kellie,1,100,100,Squarespace Only
Phase 4,Account Service,PDF Training Guide,"A customized, easy-to-follow guide covering key features and functionality of your new Squarespace website, ensuring your team can confidently manage content updates.",,0,100,0,Optional
Phase 4,Account Service,Training Session,"A hands-on walkthrough of your new website, guiding your team through essential tasks like editing content, managing media, and using key plugins.",,0,100,0,Optional
Phase 4,Website Development,Post Launch Quality Control,"Two week period to fix any bugs or issues on site. Including:

Spelling/grammar fixes
Updating or swapping out images
Changing wording or messaging on specific pages
Adjusting headings, CTAs, or button text
Changing colors, fonts, or spacing
Adjusting padding/margins
Swapping banner images or hero sections
Refining mobile or tablet responsiveness
Changing icon styles or graphics
Updating menu structure or labeling
Improving accessibility (contrast, alt text, keyboard navigation)
Editing contact forms & routing
Fixing broken links or 404s
Improving page speed or optimizing images",Christian,5,150,750,Optional
Phase 4,Account Service,Phase 4 Account Service,"Extra time padded for client communication and coordination to ensure project alignment, satisfaction, and success. This includes managing timelines, facilitating feedback, organizing meetings and emails, translating client needs to the internal team, and overseeing deliverables.",,0,100,0,Excludes meetings.
Phase 4,Squarespace Subscription,Squarespace Subscription,"Business Plan - Annual Renewal

The Squarespace subscription will be purchased by Netwave under our main account. We will bill the client the gross amount. Subscriptions are due in full prior to site launch.					",,,276,386.4,Squarespace Only
Phase Padding,Production Management,Production Management,"Oversight of the website project from initiation through final delivery. This includes task scheduling, timeline management, resource coordination, internal workflow tracking, quality control, and ensuring all project milestones are met.","Kellie, Cassidy",0,100,0,Excludes meetings.
Phase Padding,Formulating New Business,Formulating New Business,"Time dedicated to researching, strategizing, and preparing materials to pursue new business opportunities. This includes discovery, proposal development, estimating, internal planning, and presentation efforts aimed at securing new client partnerships or expanding existing relationships.",,0,100,0,
,,,,,,,1836.4,
,,,,,,,,
Client:,,,,,,,,
TBD,,,,,,,,
,,,,,,,,
Project:,,,,,,,,
TBD,,,,,,,,
,,,,,,,,
Date Estimated:,,,,,,,,
TBD,,,,,,,,
